# Rime user dictionary
#@/db_name	wanxiang_pro
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	9687
#@/user_id	arsiendle_pc
a;ka 	啊	c=9 d=1.45172 t=9687
bú;ad,ax gòu;jd,xj 	不够	c=0 d=0.0131994 t=9687
bú;ad,ax gòu;jd,xj zhí;aa,uq guān;jy,yj 	不够直观	c=1 d=0.132655 t=9687
bú;ad,ax huì;ry 	不会	c=10 d=1.11253 t=9687
bú;ad,ax huì;ry ba;kb 	不会吧	c=2 d=0.126828 t=9687
bú;ad,ax huì;ry ya;ky 	不会呀	c=2 d=0.844534 t=9687
bú;ad,ax huì;ry yòng;kf 	不会用	c=1 d=0.00460782 t=9687
bú;ad,ax jiù;yj 	不就	c=1 d=0.860708 t=9687
bú;ad,ax jiù;yj shì;op,ov 	不就是	c=1 d=0.00843809 t=9687
bú;ad,ax kàn;ou,uo 	不看	c=2 d=0.0359725 t=9687
bú;ad,ax luàn;ug 	不乱	c=1 d=0.0420036 t=9687
bú;ad,ax lùn;yl 	不论	c=1 d=0.178173 t=9687
bú;ad,ax ràng;yu 	不让	c=1 d=0.000446085 t=9687
bú;ad,ax shì;op,ov 	不是	c=37 d=1.6618 t=9687
bú;ad,ax shì;op,ov hěn;xg 	不是很	c=1 d=5.7595e-10 t=9687
bú;ad,ax shì;op,ov me;ps 	不是么	c=1 d=0.00272578 t=9687
bú;ad,ax shì;op,ov shuō;yd 	不是说	c=1 d=0.0415857 t=9687
bú;ad,ax tài;dd 	不太	c=6 d=1.11415 t=9687
bú;ad,ax tài;dd hǎo;nz 	不太好	c=1 d=0.000422213 t=9687
bú;ad,ax tài;dd lǐ;wl jiě;jn 	不太理解	c=1 d=0.477114 t=9687
bú;ad,ax tài;dd shú;hu liàn;sd,sj 	不太熟练	c=1 d=0.331211 t=9687
bú;ad,ax xiàng;rx 	不像	c=1 d=0.0271875 t=9687
bú;ad,ax xiàng;rx běn;aa,ma rén;pd 	不像本人	c=2 d=0.00769765 t=9687
bú;ad,ax yào;xn 	不要	c=4 d=0.362106 t=9687
bú;ad,ax yòng;kf 	不用	c=2 d=0.0560892 t=9687
bú;ad,ax yòng;kf diǎn;hv jìn;zj qù;ts 	不用点进去	c=1 d=0.410656 t=9687
bú;ad,ax yòng;kf guǎn;vg 	不用管	c=1 d=0.000505481 t=9687
bú;ad,ax yòng;kf le;aa,vu 	不用了	c=1 d=0.0639279 t=9687
bú;ad,ax zhèng;av cháng;jk,xd,dd 	不正常	c=1 d=0.00729913 t=9687
bú;ad,ax zài;aa,at 	不再	c=2 d=0.427518 t=9687
bú;ad,ax ài;vy 	不爱	c=1 d=0.113608 t=9687
bú;ad,ax ài;vy kàn;ou,uo 	不爱看	c=1 d=0.927743 t=9687
bú;ad,ax àn;fa 	不按	c=1 d=0.000706633 t=9687
bā;fb 	扒	c=1 d=0.0144798 t=9687
bāng;jb 	帮	c=3 d=0.511709 t=9687
bāng;jb bāng;jb 	帮帮	c=1 d=0.212248 t=9687
bāng;jb wǒ;pd,pp 	帮我	c=7 d=0.839874 t=9687
bāng;jb zhù;lq,ql 	帮助	c=1 d=0.00269866 t=9687
bāng;jb zhù;lq,ql wǒ;pd,pp 	帮助我	c=1 d=0.150318 t=9687
bāo;gs de;bu 	包的	c=1 d=0.0314298 t=9687
bāo;gs kuò;fu 	包括	c=1 d=0.0761538 t=9687
bēng;up kuì;dg 	崩溃	c=1 d=0.00272578 t=9687
běn;aa,ma dì;ty 	本地	c=3 d=0.645146 t=9687
běn;aa,ma lái;am,wb 	本来	c=6 d=0.0595043 t=9687
běn;aa,ma rén;pd 	本人	c=2 d=0.00833309 t=9687
běn;aa,ma shēn;pp 	本身	c=2 d=1.06348 t=9687
bī;zf,zt 	逼	c=1 d=0.0228227 t=9687
bō;dp 	波	c=1 d=0.0337087 t=9687
bō;ff 	播	c=1 d=0.0338776 t=9687
bō;ff fàng;wf,fw 	播放	c=5 d=1.61187 t=9687
bō;ff fàng;wf,fw qì;kk,qk 	播放器	c=4 d=0.538407 t=9687
bō;ff fàng;wf,fw sù;zu dù;gy 	播放速度	c=4 d=0.761138 t=9687
bǎ;fb 	把	c=38 d=1.59289 t=9687
bǎ;fb wǒ;pd,pp 	把我	c=1 d=0.060205 t=9687
bǎi;ab dù;gy 	百度	c=5 d=1.12442 t=9687
bǎn;pf běn;aa,ma 	版本	c=13 d=1.64739 t=9687
bǎng;mp 	榜	c=3 d=0.0417941 t=9687
bǎo;by bao;by 	宝宝	c=1 d=0.40657 t=9687
bǎo;rd biāo;jp 	保镖	c=0 d=0.00225956 t=9687
bǎo;rd liú;td,tl,lt 	保留	c=4 d=0.16696 t=9687
bǎo;rd zhèng;yv 	保证	c=1 d=0.000113353 t=9687
bǐ;bb 	比	c=4 d=0.198242 t=9687
bǐ;bb jiào;ij 	比较	c=1 d=0.0263839 t=9687
bǐ;bb qǐ;zj 	比起	c=1 d=0.00382958 t=9687
bǐ;pg 	匕	c=1 d=0.00373503 t=9687
bǐ;vm huà;ak 	笔画	c=3 d=0.0322254 t=9687
bǐ;vm huà;ak bǐ;vm shùn;yi 	笔画笔顺	c=1 d=5.5175e-05 t=9687
bǐ;vm jì;yj 	笔记	c=0 d=0.000244185 t=9687
bǐ;vm shùn;yi 	笔顺	c=2 d=9.96023e-05 t=9687
bǔ;yb 	补	c=1 d=0.0269169 t=9687
bǔ;yb quán;rw 	补全	c=1 d=0.000253537 t=9687
chuàng;dc jiàn;zy le;aa,vu 	创建了	c=1 d=0.882497 t=9687
chuán;rv 	传	c=2 d=0.710114 t=9687
chuāng;xx,bx kǒu;aa 	窗口	c=1 d=0.389872 t=9687
chuī;kq 	吹	c=1 d=0.755784 t=9687
chuǎi;fe 	揣	c=0 d=0.099005 t=9687
chà;yg 	差	c=1 d=0.871614 t=9687
chà;yg píng;yp 	差评	c=1 d=0.0278757 t=9687
chà;yg yì;aa xiē;ec 	差一些	c=1 d=0.105928 t=9687
chàng;ki 	唱	c=1 d=0.115325 t=9687
chàng;ki gē;qg 	唱歌	c=10 d=1.30942 t=9687
chàng;ki gē;qg xíng;xd,xi a;ka 	唱歌行啊	c=2 d=0.289572 t=9687
chá;md kàn;ou,uo 	查看	c=1 d=0.995012 t=9687
chán;di,dz chán;di,dz 	潺潺	c=0 d=0.099005 t=9687
cháng;jk,xd,dd yòng;kf 	常用	c=1 d=0.718924 t=9687
cháng;pd 	长	c=2 d=0.423089 t=9687
cháng;pd gē;qg xíng;xd,xi a;ka 	长歌行啊	c=1 d=0.0800583 t=9687
cháng;pd jù;gk,kg,pk 	长句	c=2 d=0.00428064 t=9687
cháng;pd le;aa,vu 	长了	c=2 d=0.000576074 t=9687
cháng;pd àn;fa 	长按	c=4 d=1.98864 t=9687
cháng;pd àn;fa qián;bd,qd 	长按前	c=1 d=0.519442 t=9687
chè;fw huí;kk 	撤回	c=1 d=0.00543443 t=9687
chèn;yc shān;yp 	衬衫	c=1 d=0.913931 t=9687
chén;dj,dr mò;du chéng;gg,wg běn;aa,ma 	沉没成本	c=1 d=0.000176887 t=9687
chén;iy 	辰	c=1 d=0.164474 t=9687
chén;oi xī;ox,og 	晨曦	c=1 d=0.159614 t=9687
chéng;gg,wg 	成	c=12 d=0.673015 t=9687
chéng;gg,wg gōng;gl,lg 	成功	c=1 d=0.00202943 t=9687
chéng;gg,wg jù;gk,kg,pk zi;aa,vh 	成句子	c=1 d=0.418952 t=9687
chéng;hi xù;gy 	程序	c=3 d=0.460704 t=9687
chéng;hi xù;gy tí;uy,yu 	程序题	c=5 d=0.0110251 t=9687
chéng;hi xù;gy tǐ;rb 	程序体	c=7 d=0.479505 t=9687
chéng;ti xiāng;ap,vp 	城乡	c=1 d=0.147342 t=9687
chì;pa,rf,xy chù;ad 	彳亍	c=2 d=0.00120133 t=9687
chóng;pa,ql dǎ;fd 	重打	c=1 d=0.00192083 t=9687
chóng;pa,ql fù;pw,rw,wo 	重复	c=1 d=0.00506703 t=9687
chóng;pa,ql fù;pw,rw,wo dù;gy 	重复度	c=1 d=0.0051953 t=9687
chóng;pa,ql fù;pw,rw,wo zào;zg lún;il zi;aa,vh 	重复造轮子	c=1 d=1 t=9626
chóng;pa,ql mìng;re míng;xk 	重命名	c=1 d=0.425283 t=9687
chóng;pa,ql qǐ;hk,kh 	重启	c=4 d=0.0378169 t=9687
chóng;pa,ql qǐ;hk,kh yí;aa xià;ab,ad 	重启一下	c=1 d=0.00126207 t=9687
